iter	Logloss	F1
0	0.6478624431	0.05688405797
1	0.6074200104	0.09763559285
2	0.5764675615	0.06919512305
3	0.5488960409	0.06826092853
4	0.5280372857	0.07144145769
5	0.5113676146	0.05919102558
6	0.4962763548	0.0603935143
7	0.4838159246	0.05578966654
8	0.4737787525	0.04588468818
9	0.4638471219	0.05315340127
10	0.4567611491	0.05391033281
11	0.4507928063	0.05029885057
12	0.4457730873	0.04624544238
13	0.4409747476	0.05910295058
14	0.4371760805	0.05933171824
15	0.4339155775	0.06134185304
16	0.430967607	0.05984741194
17	0.4274964078	0.05924300603
18	0.4246536893	0.05899839927
19	0.4226411241	0.05916239941
20	0.4208502186	0.06302444363
21	0.4194921813	0.06398687449
22	0.4181801481	0.06535590752
23	0.4165367704	0.06614201883
24	0.4152564659	0.06761177754
25	0.4143294257	0.07132176356
26	0.4136165441	0.07353805798
27	0.4127739987	0.0760795993
28	0.4118516597	0.07985970592
29	0.4112166556	0.08185245019
30	0.4104483438	0.08654061061
31	0.4097162806	0.08655608709
32	0.4092161018	0.08812893433
33	0.4087397393	0.08959215511
34	0.4080433263	0.08997772829
35	0.4076299214	0.09175780208
36	0.4072402167	0.09262222222
37	0.4068941218	0.09372362635
38	0.4063966043	0.09462518308
39	0.4061149036	0.09621353197
40	0.4057325762	0.09838388311
41	0.405428564	0.1010342084
42	0.4051453786	0.1023218858
43	0.4048473376	0.1055320648
44	0.4044581614	0.10631931
45	0.4042352231	0.1071522829
46	0.4038778988	0.108983929
47	0.4036243597	0.1098390139
48	0.403430376	0.1109650276
49	0.4031232928	0.1111743835
50	0.4027735931	0.1127882049
51	0.4025244669	0.1132240437
52	0.4023322018	0.1155524524
53	0.4021231292	0.1163034002
54	0.4019126063	0.1180927498
55	0.4016707617	0.1188704695
56	0.4014396207	0.120132128
57	0.4012507006	0.122886133
58	0.4010916207	0.124864701
59	0.4009349955	0.1256218367
60	0.4008037366	0.1268798617
61	0.4006538231	0.127073255
62	0.4004539517	0.1291240781
63	0.4002751898	0.1294077076
64	0.4001685855	0.130513439
65	0.4000846795	0.1309569934
66	0.3999799988	0.1309288112
67	0.3998484047	0.1325710356
68	0.3997256325	0.1340834908
69	0.3996215934	0.1348555732
70	0.3994435449	0.1353751126
71	0.3992470914	0.1360713367
72	0.3990919246	0.137978259
73	0.3989287493	0.1388069275
74	0.3988373989	0.1397932154
75	0.39870923	0.1403808385
76	0.3985401782	0.1421445321
77	0.3984610934	0.1418887231
78	0.3983663139	0.1430579815
79	0.3982168599	0.1443649983
80	0.3980853639	0.1450631727
81	0.3980017093	0.1454328968
82	0.39793649	0.1472236373
83	0.3978394374	0.1483178482
84	0.3977389875	0.1492372881
85	0.3976774166	0.148989364
86	0.3975727002	0.1506686982
87	0.3974886592	0.1511126153
88	0.3973748541	0.1531900519
89	0.3972740849	0.1545469884
90	0.3971933947	0.1545535074
91	0.3970945154	0.155220359
92	0.3969911067	0.1564617262
93	0.3968705381	0.1581047591
94	0.3968059308	0.1585181452
95	0.3967337213	0.1589487384
96	0.3966445402	0.1609185769
97	0.3965788502	0.1622232453
98	0.3965170835	0.1619019715
99	0.3964220341	0.1634478723
100	0.396316734	0.1639508649
101	0.3962666311	0.1640974224
102	0.3961965532	0.1649131597
103	0.3961195614	0.1649062748
104	0.3960473158	0.1654775316
105	0.39596653	0.1659993327
106	0.3958529476	0.1671318475
107	0.3958035896	0.167825761
108	0.3957721199	0.1680406362
109	0.3957159346	0.1689543299
110	0.3956552182	0.1696042567
111	0.3955779659	0.1698183783
112	0.3955244974	0.1701844773
113	0.3954758904	0.1703011423
114	0.3954078815	0.1712459533
115	0.3953303134	0.1720189196
116	0.395238139	0.1733184135
117	0.3951832276	0.1740607266
118	0.3951329829	0.174334341
119	0.3950814093	0.17470503
120	0.3950178482	0.1747371906
121	0.3949551311	0.175312319
122	0.3948623829	0.1755924073
123	0.3947980562	0.1766772767
124	0.3947571914	0.1771388441
125	0.394695696	0.1775832163
