iter	Passed	Remaining
0	132	132682
1	251	125675
2	380	126479
3	489	121899
4	606	120639
5	738	122293
6	851	120722
7	996	123587
8	1115	122870
9	1237	122468
10	1368	123078
11	1482	122076
12	1601	121564
13	1693	119266
14	1807	118681
15	1923	118274
16	2064	119382
17	2176	118725
18	2305	119056
19	2419	118534
20	2546	118693
21	2652	117917
22	2796	118797
23	2943	119718
24	3070	119761
25	3176	118996
26	3301	118964
27	3412	118464
28	3527	118098
29	3649	118005
30	3836	119912
31	3995	120857
32	4110	120449
33	4252	120818
34	4425	122025
35	4545	121722
36	4665	121433
37	4790	121275
38	4943	121802
39	5054	121302
40	5167	120880
41	5274	120298
42	5406	120322
43	5504	119595
44	5640	119697
45	5794	120177
46	5931	120260
47	6055	120105
48	6191	120166
49	6313	119958
50	6451	120049
51	6561	119626
52	6686	119466
53	6819	119471
54	6937	119204
55	7033	118570
56	7157	118409
57	7272	118112
58	7390	117874
59	7518	117786
60	7681	118238
61	7829	118452
62	7944	118153
63	8049	117722
64	8173	117571
65	8314	117659
66	8465	117884
67	8590	117737
68	8713	117568
69	8827	117277
70	8983	117541
71	9138	117785
72	9263	117629
73	9365	117191
74	9500	117173
75	9631	117095
76	9754	116931
77	9883	116826
78	9997	116555
79	10125	116442
80	10246	116258
81	10370	116099
82	10515	116181
83	10627	115891
84	10751	115736
85	10877	115603
86	10998	115416
87	11124	115285
88	11241	115065
89	11346	114724
90	11481	114684
91	11598	114469
92	11715	114256
93	11840	114122
94	11962	113956
95	12077	113732
96	12206	113632
97	12335	113538
98	12457	113378
99	12592	113333
100	12709	113125
101	12842	113067
102	12949	112775
103	13091	112790
104	13226	112742
105	13341	112523
106	13465	112376
107	13566	112047
108	13690	111911
109	13818	111804
110	13929	111562
111	14052	111419
112	14186	111356
113	14296	111114
114	14421	110979
115	14523	110681
116	14663	110661
117	14788	110535
118	14914	110419
119	15028	110207
120	15154	110089
121	15275	109935
122	15371	109601
123	15495	109468
124	15666	109667
125	15784	109489
126	15928	109493
127	16059	109408
128	16191	109323
129	16312	109169
130	16443	109081
131	16563	108919
132	16693	108822
133	16819	108701
134	16954	108632
135	17077	108491
136	17210	108410
137	17337	108294
138	17457	108134
139	17586	108028
140	17727	107996
141	17866	107952
142	17989	107808
143	18100	107594
144	18224	107462
145	18341	107283
146	18466	107155
147	18602	107087
148	18736	107009
149	18836	106741
150	18949	106541
151	19076	106428
152	19194	106261
153	19325	106163
154	19464	106114
155	19579	105929
156	19719	105881
157	19803	105534
158	19938	105462
159	20068	105357
160	20164	105079
161	20292	104970
162	20419	104855
163	20537	104690
164	20672	104612
165	20804	104522
166	20915	104328
167	21043	104215
168	21170	104097
169	21306	104025
170	21431	103898
171	21558	103782
172	21675	103618
173	21813	103552
174	21933	103401
175	22067	103315
176	22190	103178
177	22314	103049
178	22460	103015
179	22585	102890
180	22733	102867
181	22858	102739
182	23008	102723
183	23155	102690
184	23287	102591
185	23420	102497
186	23553	102399
187	23679	102275
188	23823	102225
189	23949	102100
190	24058	101902
191	24176	101742
192	24297	101597
193	24453	101594
194	24598	101548
195	24749	101525
196	24909	101534
197	25049	101462
198	25163	101286
199	25287	101148
200	25409	101007
201	25532	100865
202	25644	100683
203	25761	100520
204	25874	100340
205	25985	100157
206	26111	100031
207	26248	99946
208	26377	99828
209	26515	99748
210	26626	99565
211	26767	99496
212	26886	99343
213	27010	99206
214	27145	99111
215	27274	98995
216	27395	98852
217	27557	98853
218	27688	98743
219	27829	98667
220	27961	98562
221	28093	98453
222	28243	98410
223	28393	98362
224	28521	98239
225	28632	98061
226	28758	97929
227	28873	97765
228	29024	97720
229	29129	97520
